author,title,description,url,urlToImage,publishedAt,content,source.id,source.name,leaning,keyword
NBC Universal,Live election results 2020: Latest vote count as Joe Biden leads in swing states,"Live presidential election results and updated vote count as Joe Biden leads President Trump in key swing states of Georgia, Pennsylvania, Arizona and Nevada.",https://www.nbcnews.com/politics/2020-election/live-blog/2020-11-07-trump-biden-election-results-n1246882,https://media1.s-nbcnews.com/j/newscms/2020_45/3425842/201104-post-election-live-blog-main-cover-cs_677f87a787c5da5efad0d320bdbc0748.nbcnews-fp-1200-630.jpg,2020-11-07T11:18:00Z,"Biden predicts win, calls for unity, as presidential race still undecided
WILMINGTON, Del. Joe Biden on Friday night once again predicted victory in the 2020 race, calling for unity after the final … [+3748 chars]",nbc-news,NBC News,mod_left,biden
"By <a href=""/profiles/meg-wagner"">Meg Wagner</a>, <a href=""/profiles/fernando-alfonso-iii"">Fernando Alfonso III</a>, Melissa Macaya, <a href=""/profiles/melissa-mahtani"">Melissa Mahtani</a>, <a href=""/profiles/veronica-rocha"">Veronica Rocha</a> and <a href=""/profiles/amanda-wills"">Amanda Wills</a>, CNN",Election results live: Joe Biden elected president,Joe Biden has won the presidency. Follow here for the latest.,https://www.cnn.com/politics/live-news/trump-biden-election-results-11-07-20/h_b26179e4615d299ab906f5880dc0fc98,https://dynaimage.cdn.cnn.com/cnn/digital-images/org/9eb60051-c3a2-4fb2-9255-64d307e7b1b7.jpg,2020-11-07T11:02:11Z,"President-elect Joe Biden sent a message to those who voted for President Trump, calling for unity and reconciliation. 
""Now for all those of you who voted for President Trump, I understand your dis… [+1023 chars]",cnn,CNN,mod_left,biden
"By <a href=""/profiles/meg-wagner"">Meg Wagner</a>, <a href=""/profiles/fernando-alfonso-iii"">Fernando Alfonso III</a>, Melissa Macaya, <a href=""/profiles/melissa-mahtani"">Melissa Mahtani</a>, <a href=""/profiles/veronica-rocha"">Veronica Rocha</a> and <a href=""/profiles/amanda-wills"">Amanda Wills</a>, CNN",Election results live: Joe Biden elected president,Joe Biden has won the presidency. Follow here for the latest.,https://www.cnn.com/politics/live-news/trump-biden-election-results-11-07-20/h_1af716903b7402bc31d79033b2667d8c,https://cdn.cnn.com/cnnnext/dam/assets/201030082605-04-trump-biden-election-night-split-super-tease.jpg,2020-11-07T11:02:11Z,"The cars have started to arrive in the parking lot of the Chase Center for the biggest show in Wilmington, Delaware, tonight: A drive-in rally for the victory rally for President-elect Joe Biden and … [+853 chars]",cnn,CNN,mod_left,biden
"By <a href=""/profiles/meg-wagner"">Meg Wagner</a>, <a href=""/profiles/fernando-alfonso-iii"">Fernando Alfonso III</a>, Melissa Macaya, <a href=""/profiles/melissa-mahtani"">Melissa Mahtani</a>, <a href=""/profiles/veronica-rocha"">Veronica Rocha</a> and <a href=""/profiles/amanda-wills"">Amanda Wills</a>, CNN",Election results live: Joe Biden elected president,Joe Biden has won the presidency. Follow here for the latest.,https://www.cnn.com/politics/live-news/trump-biden-election-results-11-07-20/h_0ad95627e7d03a19231b55127e9b39d3,https://cdn.cnn.com/cnnnext/dam/assets/201030082605-04-trump-biden-election-night-split-super-tease.jpg,2020-11-07T11:02:11Z,"Minnesota Sen. Amy Klobuchar said that President-elect Joe Biden and Vice President-elect Kamala Harris will work on building a big coalition to unite Democratic and GOP lawmakers. 
I was buoyed by … [+1658 chars]",cnn,CNN,mod_left,biden
,Race for presidency narrows as vote counting continues,"While six states continue to count ballots on Nov. 5, Democratic nominee Joe Biden is closing in on an electoral college victory, and President Trump’s campaign is mounting legal challenges. The Post’s Libby Casey will anchor live coverage and be joined by re…",https://www.washingtonpost.com/video/national/race-for-presidency-narrows-as-vote-counting-continues/2020/11/05/6defde7f-9dbd-4aa4-a531-042310735f54_live.html,https://www.washingtonpost.com/pbox.php?url=https://d1i4t8bqe7zgj6.cloudfront.net/11-05-2020/t_bfd568d0cfed4e20bcd436777920dcbc_name__OiNQk18.png&w=1484&op=resize&opt=1&filter=antialias&t=20170517,2020-11-05T15:52:55.0341816Z,,the-washington-post,The Washington Post,mod_left,biden
NBC News,Presidential election results: Live map of 2020 electoral votes,"Results of the 2020 U.S. presidential election, including electoral votes between Trump and Biden in each state, and who is winning the popular vote.",https://www.nbcnews.com/politics/2020-elections/president-results,https://firecracker-cms.s3.amazonaws.com/cms-files/production/images/uploads/201013-election-president-polls-social-cs_4bfc07c7e4ae15217e45905d7405d6ef.jpg,2020-09-10T19:00:00Z,"The expected vote is the total number of votes that are expected in a given race once all votes are counted. This number is an estimate and is based on several different factors, including informatio… [+473 chars]",nbc-news,NBC News,mod_left,biden
BBC News,'My message to Republican friends',Supporters of US President-Elect Joe Biden give their message to people who voted for Donald Trump.,http://www.bbc.co.uk/news/election-us-2020-54859464,https://ichef.bbci.co.uk/images/ic/400xn/p08xrfx3.jpg,2020-11-08T03:22:24.4594575Z,"US President-Elect Joe Biden has spoken of his wish to ""unify"" the United States, in his first speech since his election win.
Some of those who voted for Joe Biden tell the BBC what their message wo… [+86 chars]",bbc-news,BBC News,moderate,biden
Jonathan Easley,Biden vows to heal divided nation | TheHill,President-elect Joe Biden in a victory speech Saturday night vowed to heal a nation to...,http://thehill.com/homenews/campaign/524992-biden-vows-to-heal-divided-nation,https://thehill.com/sites/default/files/bidenjoebidenjill.victory.1107.jpg,2020-11-08T03:08:17Z,"President-elect Joe BidenJoe BidenBiden claims a 'mandate' to govern, calls for end to 'partisan warfare'Mark Meadows tests positive for coronavirusTrump supporters scream at Telemundo reporter durin… [+6408 chars]",the-hill,The Hill,moderate,biden
BBC News,"US election 2020: Time to heal, Biden says in address to nation","The Democrat addresses the nation after winning enough votes to defeat Donald Trump, according to projections.",http://www.bbc.co.uk/news/live/election-us-2020-54786937,https://m.files.bbci.co.uk/modules/bbc-morph-news-waf-page-meta/4.1.4/bbc_news_logo.png,2020-11-08T02:52:32.0596524Z,"From talking about Biden's family, Harris moves into discussing her own - and what this moment means for women.
Harris says her mother ""believed so deeply in an America where a moment like this is p… [+810 chars]",bbc-news,BBC News,moderate,biden
,Crowds React to President-Elect Joe Biden’s Win,"Around the country, Americans reacted to the news of Joe Biden’s win after the Associated Press and other news organizations called the presidential election in favor of the former vice president. Photo: Getty Images",https://www.wsj.com/video/crowds-react-to-president-elect-joe-bidens-win/F2D8F828-8CF1-4DAE-AD7B-170F5B02D3C8.html,http://m.wsj.net/video/20201107/bidenwinsightsandsounds/bidenwinsightsandsounds_1280x720.jpg,2020-11-08T01:52:41.0929201Z,"Inside the Tear of God: A Unique House on Crete That Filters the Sun
9/7/2020For his home on Crete, Greeces largest island, George Kalykakis wanted something unique. He got a sculptural structure, n… [+117 chars]",the-wall-street-journal,The Wall Street Journal,moderate,biden
