author,title,description,url,urlToImage,publishedAt,content,source.id,source.name,leaning,keyword
,Read: President-elect Joe Biden's remarks,"President-elect Joe Biden addressed the nation on November 7, hours after being projected the winner of the election.",http://us.cnn.com/2020/11/07/politics/joe-biden-president-elect-remarks/index.html,https://cdn.cnn.com/cnnnext/dam/assets/201107205627-joe-biden-victory-speech-1107-super-tease.jpg,2020-11-08T02:16:00Z,,cnn,CNN,mod_left,president
"Maeve Reston and Stephen Collinson, CNN",President-elect Joe Biden seeks to unite nation with victory speech,"President-elect Joe Biden speaks to a deeply divided nation Saturday night, making a plea for unity after four years of turmoil and conflict fomented by President Donald Trump.",http://us.cnn.com/2020/11/07/politics/biden-victory-speech-2020-election/index.html,https://cdn.cnn.com/cnnnext/dam/assets/201107192144-biden-event-1107-super-tease.jpg,2020-11-08T01:18:14Z,"(CNN)President-elect Joe Biden will speak to a deeply divided nation tonight, making a plea for unity and understanding after four years of turmoil and conflict fomented by President Donald Trump, wh… [+8553 chars]",cnn,CNN,mod_left,president
Grace Segers,Watch Live: President-elect Joe Biden and Vice President-elect Kamala Harris deliver remarks,This will be the first address Biden and Harris make after projections that they won the election.,https://www.cbsnews.com/news/president-elect-joe-biden-vice-president-elect-kamala-harris-watch-live-stream-2020-11-07/,https://cbsnews1.cbsistatic.com/hub/i/r/2020/11/07/bbf04add-16bf-4c59-905d-87df7957bc74/thumbnail/1200x630g2/f07e3884e4e5f0ab5e308ff6256cc6e2/rtx7ozua.jpg,2020-11-08T01:02:42+00:00,"President-elect Joe Biden and Vice President-elect Kamala Harris are delivering remarks on Saturday, after winning the requisite electoral votes to win the presidential election. CBS News projected t… [+3703 chars]",cbs-news,CBS News,mod_left,president
CBS News,Nation reacts after Joe Biden is projected to win the 2020 election,Biden is projected to win the electoral votes needed to be declared the 46th president of the United States.,https://www.cbsnews.com/pictures/2020-election-results-nation-reacts/,https://cbsnews2.cbsistatic.com/hub/i/r/2020/11/07/48017ef0-95d5-4b49-86b0-134f54ea1112/thumbnail/1200x630/c155ae577b1b3adde4b04ae5c7c58093/ap-20312614481173.jpg,2020-11-07T23:00:20+00:00,Biden is projected to win the electoral votes needed to be declared the 46th president of the United States.,cbs-news,CBS News,mod_left,president
"Analysis by Zachary B. Wolf and Will Mullery, CNN",What happens between now and Inauguration Day,Americans who went to the polls on Election Day don't actually select the President directly.,http://us.cnn.com/2020/10/18/politics/electoral-college-timeline-2020-election/index.html,https://cdn.cnn.com/cnnnext/dam/assets/201016115324-20201016-election-day-to-inauguration-illustration-super-tease.jpg,2020-11-07T22:09:09Z,"Analysis by Zachary B. Wolf and Will Mullery, CNN
Updated 5:09 PM ET, Sat November 7, 2020
This story was originally published on October 18, 2020 and was updated after former Vice President Joe Bi… [+1455 chars]",cnn,CNN,mod_left,president
Adi Robertson,Trump will lose his Twitter ‘public interest’ protections in January,Twitter has confirmed that President Donald Trump will no longer be considered a world leader whose rule-breaking tweets are still allowed on the service.,https://www.theverge.com/2020/11/7/21552606/trump-twitter-world-leader-public-interest-exception-ends-january-loss,https://cdn.vox-cdn.com/thumbor/gis6O8YIaKNn2OEAaBuu6WvwcgY=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/22019592/acastro_201106_1777_vote_0004.0.jpg,2020-11-07T19:57:54Z,"Twitters long national nightmare is almost over
Illustration by Alex Castro / The Verge
President Donald Trump will lose Twitter privileges he enjoys as a world leader when President-Elect Joe Bide… [+2282 chars]",the-verge,The Verge,mod_left,president
Meredith Deliso,Vice President-elect Kamala Harris' husband Doug Emhoff set to become 1st second gentleman,,https://abcnews.go.com/Politics/vice-president-elect-kamala-harris-husband-doug-emhoff/story?id=74076409,https://s.abcnews.com/images/Politics/kamala-emhoff-ap-ps-201107_1604769350837_hpMain_16x9_992.jpg,2020-11-07T18:28:45Z,"Kamala Harris isn't the only one who made history in the 2020 election -- her husband has, too.
With Harris set to become the vice president, Doug Emhoff is set to become the United States' first se… [+2511 chars]",abc-news,ABC News,mod_left,president
T.C. Sottek,President Trump is defeated: the timeline is restored,President Trump just lost the election to Joe Biden. Now it’s time to restore our timeline — and reclaim some joy.,https://www.theverge.com/2020/11/7/21548036/election-2020-joe-biden-wins-president-trump-defeated,https://cdn.vox-cdn.com/thumbor/bOEO2j-0uwUfcFZGdsGhBUsqtFM=/0x151:3004x1724/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/22010364/1228916056.jpg,2020-11-07T16:28:58Z,"Youre fired
Photo by Saul Loeb / AFP via Getty Images
After years of chaos, extremism, and death, Americans have chosen to remove President Donald Trump from office. Despite the presidents attempt … [+1708 chars]",the-verge,The Verge,mod_left,president
Kim Lyons,Twitter flags four of President Trump’s tweets about ballot-counting,"Twitter flagged four tweets from President Trump on Saturday for making “potentially misleading claims about an election,” as he continued to complain— without evidence— about “illegal” ballots.",https://www.theverge.com/2020/11/7/21554013/twitter-flags-president-trumps-tweets-votes-counted-election-pennsylvania,https://cdn.vox-cdn.com/thumbor/31wcDz-dd7XKS5dJnkQVko0eII0=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/12645609/acastro_180827_1777_0002.jpg,2020-11-07T15:19:11Z,"The president claimed without evidence that illegal votes changed the results in Pennsylvania
Illustration by Alex Castro / The Verge
Twitter flagged four tweets from President Trump on Saturday fo… [+1926 chars]",the-verge,The Verge,mod_left,president
NBC Universal,Live election results 2020: Latest vote count as Joe Biden leads in swing states,"Live presidential election results and updated vote count as Joe Biden leads President Trump in key swing states of Georgia, Pennsylvania, Arizona and Nevada.",https://www.nbcnews.com/politics/2020-election/live-blog/2020-11-07-trump-biden-election-results-n1246882,https://media1.s-nbcnews.com/j/newscms/2020_45/3425842/201104-post-election-live-blog-main-cover-cs_677f87a787c5da5efad0d320bdbc0748.nbcnews-fp-1200-630.jpg,2020-11-07T11:18:00Z,"Biden predicts win, calls for unity, as presidential race still undecided
WILMINGTON, Del. Joe Biden on Friday night once again predicted victory in the 2020 race, calling for unity after the final … [+3748 chars]",nbc-news,NBC News,mod_left,president
